"","posteam.y","sb_winner_ay_over_yac","avg_nfl_ay_over_yac"
"1","KC",1.47195441689548,1.44475294836769
"2","NE",1.79933699368072,1.43830245715116
"3","NE",1.79933699368072,1.42482206567116
"4","DEN",1.90419773368718,1.3492212807574
"5","NE",1.12664277180406,1.5575408110367
"6","PHI",1.66481481481481,1.48336039971303
"7","NE",1.75584339696143,1.50213074837658
"8","KC",1.55648359361291,1.50784833459038
"9","TB",2.08418657565415,1.47700033624876
"10","LA",1.53161201292806,1.35662722194849
